Sensor_station_number;longitude;latitude
1200231;60.426505;5.304019
1204138;60.404455;5.321467
1200703;60.391226;5.325390
1201211;60.387884;5.343278
1200003;60.388983;5.339927
1200039;60.384831;5.335579
1200040;60.384536;5.335945
1200038;60.383525;5.335903
1200037;60.383473;5.335884
1200028;60.371785;5.211194
1200036;60.383250;5.335835
1200053;60.383523;5.334250
1200045;60.383231;5.334579
1200049;60.383105;5.336420
1200048;60.383010;5.336331
1200028;60.328061;5.337716 
1205004;60.338462;5.337349
1205012;60.365112;5.342808
1200093;60.382797;5.315425
1201353;60.383459;5.309614
1200091;60.381779;5.317300
1200128;60.322983;5.334905